primary_asset_contracts_address,primary_asset_contracts_asset_contract_type,primary_asset_contracts_created_date,primary_asset_contracts_name,primary_asset_contracts_nft_version,primary_asset_contracts_owner,primary_asset_contracts_schema_name,primary_asset_contracts_symbol,primary_asset_contracts_total_supply,primary_asset_contracts_description,primary_asset_contracts_dev_seller_fee_basis_points,primary_asset_contracts_seller_fee_basis_points,primary_asset_contracts_payout_address,stats_one_day_volume,stats_one_day_change,stats_one_day_sales,stats_one_day_average_price,stats_seven_day_volume,stats_seven_day_change,stats_seven_day_sales,stats_seven_day_average_price,stats_thirty_day_volume,stats_thirty_day_change,stats_thirty_day_sales,stats_thirty_day_average_price,stats_total_volume,stats_total_sales,stats_total_supply,stats_count,stats_num_owners,stats_average_price,stats_market_cap,stats_floor_price,slug,stats_time,created_date,description,display_data_card_display_style,safelist_request_status,name,telegram_url,twitter_username,instagram_username,discord_url,medium_username,external_url
,,,,,,,,,,,,,0,-1,0,0,0.2174,-0.743752947,6,0.036233333,3.2381,-0.545134011,76,0.042606579,32.1254,782,22229,22229,599,0.041081074,805.4307667,0.02,fungles-assets,"2022-03-06, 09:45:24",2021-02-11T21:29:58.025833,"Selection of hand picked, unique, assets from Fungles.",contain,approved,Fungles Assets,0,1,1,1,0,https://fungles.com
0x5c1a0cc6dadf4d0fb31425461df35ba80fcbc110,non-fungible,2022-01-31T17:21:30.327073,Farm Land by Pixels,3,240449607,ERC721,FARM,0,"Pixels Farm Land is your player-owned house and farm in the metaverse. 5,000 unique plots ��������� own a farm and be fed for",500,750,0x3ab1a8e9512644f311f6433e32a72141195dd446,17.1275,-0.677003559,16,1.07046875,271.4828899,-0.733493455,253,1.073054901,2414.684816,0.197263542,2907,0.830644932,4431.52132,7257,5000,5000,2409,0.610654722,5365.274504,0.97,pixels-farm,"2022-03-06, 09:45:25",2022-01-31T17:28:02.331678,"Pixels Farm Land is your player-owned house and farm in the metaverse. 5,000 unique plots ��������� own a farm and be fed for",contain,approved,Farm Land by Pixels,0,0,1,1,0,https://pixels.online
,,,,,,,,,,,,,0,-1,0,0,0.23,-0.411764706,6,0.038333333,2.366,-0.69844084,61,0.038786885,33.03279,763,10344,10344,573,0.043293303,396.52,0.039,cryptoguysnft,"2022-03-06, 09:45:25",2021-03-15T01:03:03.396365,"# WE ARE PREPARING [NFT GAME](https://www.cryptoguys.art/#Game)!

**CryptoGuys** is a collection of 10,000 pixel characters minted as NFTs on Ethereum blockchain. They are designed by a group of **twenty artists** from all over the world. Each artist contributed some ideas to create a unique vision of their places of origin. 

The Characters possess several traits such as headgear, eyes, mouth, upper / lower Body, left / right hands, skin color. Of course, there are super rare characters. Explore the rarest CryptoGuys on our [website](https://www.cryptoguys.art/#rarity)!

# PRICES:

First 100 NFTs = 0.02 ETH - November, 1 **(SOLD OUT)**

101-500 = 0.03 ETH - November, 3 **(SOLD OUT)**

501-10000 = 0.04 ETH - November, 5

The price will increase...


Join us on [Discord](https://discord.gg/5AjvwWT7) and get yourself as much as you want!",cover,approved,CryptoGuysNFT,0,1,1,1,0,https://www.cryptoguys.art/
,,,,,,,,,,,,,0.038,1,2,0.019,0.133,0.166666667,7,0.019,0.651,-0.729370193,34,0.019147059,22.1425746,512,8898,8898,440,0.043247216,169.062,0.019,intergalactic-alien-tribe,"2022-03-06, 09:45:25",2021-02-24T07:46:53.607390,"Intergalactic Alien Tribe is a unique collection of aliens on the Ethereum network, consisting of 8888 unique nft 1/1. Aliens have over 150 different properties and are generated programmatically based on AI. All nft have already been minted before the sale, so just choose the one you like and join our tribe!",cover,approved,Intergalactic Alien Tribe,0,1,0,1,0,
,,,,,,,,,,,,,0,-1,0,0,0.057,0,3,0.019,0.247,-0.458333333,13,0.019,1.275,66,10002,10002,66,0.019318182,190.038,0.019,art-gallery-by-hutton,"2022-03-06, 09:45:26",2021-12-07T06:23:56.866258,"The Art Gallery is a collection uses p5.js to generate totem graphics.
This NFT automatically ""generates"" unique art with different expressions , and you can enjoy different art on blockchain.",cover,approved,The Art Gallery By Hutton V2,0,1,0,1,0,http://art.fashionartworld.com/
,,,,,,,,,,,,,0.08,0,2,0.04,0.64,-0.238095238,16,0.04,2.48,1.455445545,62,0.04,3.5205,80,24995,24995,67,0.04400625,999.8,0.04,norrisfightclubnft,"2022-03-06, 09:45:27",2021-11-28T08:37:57.264343,"#The first rule of fight club is you don���������t talk about fight club.

#The second rule of fight club is you don���������t talk about fight club.

#The third rule of fight club is two men per fight.

**Norris Fight Club** is a collection of 25,000 unique NFTs - digital collectibles living on the Ethereum blockchain. Rumors say that Chuck personally confirmed Norric FC as the only official collection. Therefore, holding this NFT might give you eno",cover,approved,Norris Fight Club,0,1,0,1,0,http://norrisfightclub.com/
,,,,,,,,,,,,,0.03,-0.25,2,0.015,0.5184,-0.337931034,35,0.014811429,3.5414,-0.027622186,227,0.015600881,82.17943911,1466,9978,9978,1217,0.056056916,147.7884343,0.015,pixel-giraffes,"2022-03-06, 09:45:27",2021-02-16T14:30:40.086866,"Giraffes from different universes and dimensions have united in a tribe to take over the world!    
    
Army of 9999 unique NTF 1/1 Giraffe",cover,approved,Pixel Giraffes,1,1,0,1,0,
,,,,,,,,,,,,,0.025,-0.358974359,1,0.025,0.103,-0.299319728,3,0.034333333,0.406,-0.349358974,11,0.036909091,1.967,51,4988,4988,49,0.038568627,171.2546667,0.039,origin-and-evolution,"2022-03-06, 09:45:28",2021-12-16T06:24:21.921960,,cover,approved,Origin And Evolution V2,0,0,0,1,0,https://oae.fashionartworld.com/
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,0,0,314.1014641,505,250,250,158,0.621983097,0,0.145,physarum-series,"2022-03-06, 09:45:28",2021-08-08T14:39:56.402624,"Algorithmic art, inspired by nature, and hand-tuned to perfection.

250 animated items. Updates and details about future Rithm series and perks for Physarum holders are released on twitter and in the discord.

https://opensea.io/collection/physarum-series

The Physarum Series is generated by visualizing and tuning the patterns created by Physarum Polycephalum. This tiny, acellular slime mold grows in beautiful convolutions. With the permutation of a few parameters and by combining multiple species, the designs are limitless. Every item is hand tuned to create artwork unlike any other.

Every piece in the series is 600x600 resolution, and 60fps framerate. Properties include the number of species, the colors of the species, the duration, and the spawn pattern. Items can include multiple species of the same color. Also, some show more than just the colors of the species, since the different species can interact and merge color (red and blue can create magenta, for instance).",contain,verified,Physarum Series,0,1,0,1,0,https://rithm-nft.com/collections/physarum
,,,,,,,,,,,,,0.557,5.9625,4,0.13925,0.696,0.303370787,6,0.116,2.2164,-0.606699262,29,0.076427586,17.10129278,282,7994,7994,227,0.060642882,927.304,0.059,cryptopigs,"2022-03-06, 09:45:29",2021-02-27T11:16:37.770500,Collection of 8000 most cute pigs that you have seen,cover,approved,CryptoPigsNFT,0,1,0,0,0,
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,0,0,135.8206972,237,256,256,128,0.57308311,0,0.59,pixel-glass-by-kai,"2022-03-06, 09:45:29",2021-10-12T20:31:22.432816,Pixel Glass by kai - Art Blocks Playground,contain,verified,Pixel Glass by kai,0,0,0,0,0,https://www.artblocks.io/project/24
,,,,,,,,,,,,,1.345,-0.204142012,15,0.089666667,6.1899,1.938476145,69,0.089708696,9.57339,3.663803771,140,0.068381357,28.49894981,1054,6051,6051,809,0.027038852,542.8273174,0.018,pixelfreaks,"2022-03-06, 09:45:30",2021-01-15T07:45:10.852488,"### [PIXEL FREAK](https://pixelfreaks.mystrikingly.com/) - On the territory of outcasts and informals, it is here that those who did not understand who were laughed at or who were bullied gather here. But here, too, not everything is so simple, ""broken pixels"" are also divided into different groups, prides and communities, and the most influential and largest community of bad pixels is appointed by the mayor of Freak Sity. The one with the most characters becomes the mayor of the last month's Freak Sity and receives the key to the city in the form of an NFT PiXEL FREAKS token!
>ELECTION OF CITY MAYOR 
[PIXEL FREAK](https://pixelfreaks.mystrikingly.com/)!
*We do not sell freaks, we exchange them for the right to participate in elections!
There are only 10,000 of us in the best city in the world!

###Price distribution (recommended for resale):
###0 - 1000 sales: 0.02 ETH ������������������ 1000 - 1500 sales: 0.03 ETH ������������������
###1500 - 2000 sales: 0.05 ETH �������",contain,approved,PiXEL FREAKS,1,1,0,1,1,https://pixelfreaks.mystrikingly.com/
,,,,,,,,,,,,,0.174,-0.13,7,0.024857143,1.304,-0.04608632,52,0.025076923,4.49724,0,187,0.024049412,10.97137083,611,4997,4997,443,0.017956417,125.3093846,0.0235,cryptodonkey,"2022-03-06, 09:45:31",2021-02-28T12:30:26.514855,"Cryptodonkey is a collection of 5,000 randomly generated NFT���������s on the Ethereum blockchain.
This is our donkey. He's mega cool and unusual. Cryptodonkey will not leave anyone indifferent. Our donkeys will join the digital collection of the most demanding collectors. In addition, our donkeys have friends in the form of fluffy plump cats who really want to eat and find a new ",cover,approved,CryptoDonkeys,0,1,0,0,0,
,,,,,,,,,,,,,0.019,-0.786516854,1,0.019,0.642,-0.057268722,34,0.018882353,3.661599,-0.60368445,185,0.019792427,25.076099,1093,8881,8881,988,0.022942451,167.6941765,0.018,bitfoxes,"2022-03-06, 09:45:31",2021-03-08T12:59:55.306859,Unique limited collection wonderful foxes ,cover,approved,BitFoxes,0,1,0,1,0,
0x5fff521cf177782bf21d4b03f20aa616573eb8dd,non-fungible,2022-02-12T08:38:02.531835,Reflections NFT,3,251631002,ERC721,RFL,0,"The REFLECTIONS NFT collection by Rich Simmons celebrates some of the world���������s greatest masterpieces. This randomly generated range takes the experience of seeing the art in a museum, reflected in her glasses, and transports it into the digital world of NFT galleries.

This collection acts as a genesis WL for all future Rich Simmons and Art Is The Cure collective artist releases.

REFLECTIONS ROADMAP  
10 Reflections NFT give aways in discord.
10 schools will get free workshops with Rich visiting, running talks about art, creative therapy and working with students to run art classes.
25 people will win a giclee print of a Reflections NFT they hold, which will be signed, embossed and authenticated by Rich before being shipped to you.
10 hand painted canvases worth $100,000 will be created and given away in a lottery to 10 NFT holders.
$10,000 will be donated to mental health charities and creative therapy projects in partnership with Art Is The Cure to run workshops, talks and e",500,750,0x5039cda148fdd50818d5eb8dbfd8be0c0bd1b082,1.24209,0.009008936,18,0.069005,8.73919,-0.575110134,115,0.075992957,308.5741819,0,2222,0.138872269,308.5741819,2222,3333,3333,1884,0.138872269,253.2845241,0.064,richsimmonsreflections,"2022-03-06, 09:45:31",2022-02-12T08:43:12.343057,"The REFLECTIONS NFT collection by Rich Simmons celebrates some of the world���������s greatest masterpieces. This randomly generated range takes the experience of seeing the art in a museum, reflected in her glasses, and transports it into the digital world of NFT galleries.

This collection acts as a genesis WL for all future Rich Simmons and Art Is The Cure collective artist releases.

REFLECTIONS ROADMAP  
10 Reflections NFT give aways in discord.
10 schools will get free workshops with Rich visiting, running talks about art, creative therapy and working with students to run art classes.
25 people will win a giclee print of a Reflections NFT they hold, which will be signed, embossed and authenticated by Rich before being shipped to you.
10 hand painted canvases worth $100,000 will be created and given away in a lottery to 10 NFT holders.
$10,000 will be donated to mental health charities and creative therapy projects in partnership with Art Is The Cure to run workshops, talks and e",cover,approved,REFLECTIONS NFT by Rich Simmons,0,0,1,1,0,http://reflectionsnft.io
,,,,,,,,,,,,,0.464,0.777777778,16,0.029,3.694,-0.224926563,118,0.031305085,14.115,0,475,0.029715789,14.135,476,9995,9995,386,0.029695378,312.894322,0.029,crazyapessocialclub,"2022-03-06, 09:45:32",2021-12-20T14:13:33.356174,"Crazy Apes Social Club is a collection of 13,333 unique Ape NFTs��������� unique digital collectibles living on the Ethereum blockchain.
There is only one home, and the earth cannot be cloned!
Residents of the earth, let us join hands to create the most harmonious animal home and make our earth come alive...  

10,000 unique of them is stored as an ERC1155 token on the Ethereum blockchain;
3,333 unique of them is stored as an ERC721 token on the Ethereum blockchain.

The first 1500 NFT holders of ERC1155 token can get 3000 NFTs of ERC721 token for free ( 0 ETH+Gas fee ).

In order to stabilize the floor price of ERC721 token, We repurchase ERC721 token at a unit price of 0.1ETH, a total of",contain,approved,Crazy Apes Social Club,0,0,1,1,0,http://www.crazyapesocialclub.com/
,,,,,,,,,,,,,0.19,0,1,0.19,0.325,2.25,2,0.1625,48.613879,3.568651552,155,0.313637929,266.763751,1429,10,10,668,0.186678622,1.625,0.13,into-the-cryptoverse-nfts,"2022-03-06, 09:45:32",2021-08-06T19:45:20.340733,Artworks by professional artists inspired by ���������Into The Cryptover,cover,approved,Into the Cryptoverse NFTs,1,1,0,0,0,https://www.intothecryptoverse.com/
0x3acce66cd37518a6d77d9ea3039e00b3a2955460,non-fungible,2022-02-25T20:31:08.837213,WonderPals,3,262418477,ERC721,WNDR,0,"WonderPals is a collection of 10,000 delightfully cute pals. Our vision is to bring more joy to the world through community, creativity, and fun art! By artist & founder Mina.",500,750,0x58045ca4d204ba81e28a8faa66b273712405e68d,215.7045646,0.121909422,254,0.849230569,4931.248482,0.517262135,5649,0.872941845,8181.345066,0,8293,0.986536243,8181.345066,8293,10000,10000,6997,0.986536243,8729.41845,0.69,wonderpals,"2022-03-06, 09:45:33",2021-12-24T21:04:28.518631,"WonderPals is a collection of 10,000 delightfully cute pals. Our vision is to bring more joy to the world through community, creativity, and fun art! By artist & founder Mina.",cover,verified,WonderPals,0,0,1,1,0,http://www.wonderpals.com
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,0,0,0.61,12,100,100,15,0.050833333,0,0.05,rusgkaprika,"2022-03-06, 09:45:33",2021-01-21T23:52:04.414054,"ALL AT THE PRICE OF 0.1 ETH
Our gallery contains contemporary Russian artists. We help them find their viewer and collector, we make a showcase for them and post links to their collections. All the artists we host have agreed to post and promote their work.",contain,approved,RUSSIAN GALLERY KAPRIKA,0,1,1,1,0,https://gallerykaprika.mystrikingly.com/
0x1554f51f18f8e3fbe83e4442420e40efc57ff446,non-fungible,2022-01-28T08:54:53.912769,Pop Art Cats,3,206248867,ERC721,CATS,0,"Changing the world through art. 
A community-driven collectibles project founded by artist Matt Chessco. 
https://popartcats.xyz/",500,750,0x0d5bd8bfed954e4f1bdebac4df1445eab8be46b0,4.140792,-0.712556783,22,0.188217818,206.377344,-0.172700415,946,0.218157869,727.0902293,-0.793492086,3609,0.201465844,4247.973354,15996,10000,10000,4954,0.265564726,2181.578689,0.159,popartcats,"2022-03-06, 09:45:34",2022-01-28T09:04:36.229186,"Changing the world through art. 
A community-driven collectibles project founded by artist Matt Chessco. 
https://popartcats.xyz/",cover,approved,Pop Art Cats by Matt Chessco,0,0,1,1,0,https://popartcats.xyz/
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,0,0,5.896040571,61,10134,10134,38,0.096656403,0,0.030760233,cryptosamba,"2022-03-06, 09:45:35",2021-03-18T13:22:24.201765,"Samba is a limited collection of 10,130 unique AI-based artworks inspired by the Brazilian Carnival. Each item is different, but some have rarer elements than others.  
Create By Yaak, tech-powered by Ekzai.studio. 
[SAMBA CRYPTO AI]( https://sambacrypto.art).
[CADAF.ART](https://cadaf.art/artfair)  Crypto Art Fair.

Three different AI networks are in action to create the work. The first advanced network learns from the dataset images and creates new ones. The second neural network divides the images produced according to their characteristics; these are grouped and named as fictional blocks of carnival with machine learning. Like a Carnival Judge, the last AI analyzes and evaluates the artworks created. The Judge evaluation classifies the works into Special, Gold, Silver, Bronze, and Access Group.
",contain,approved,Samba Crypto AI,0,1,1,0,1,https://sambacrypto.art/
,,,,,,,,,,,,,0.09,2,3,0.03,0.45,-0.294560276,15,0.03,3.0229,0.1212953,105,0.028789524,38.12551683,1299,9675,9675,917,0.029349897,290.25,0.019,crypto-heroes-on-mars,"2022-03-06, 09:45:35",2021-02-17T22:49:37.094284,"��� Until the two thousandth year, no one will even think about what is there and how it is on. Who is interested in this Mars?
Only heroes.
��� Raise your hand and say, I swear!
��� Why, Flash?
��� Swear that when I die, you will scatter my ashes on Mars.
��� That's not my concern, Batman. Most likely, at this moment i will be guarding the peace of earthlings on earth, and not Martians on Mars.
��� But there will be earthmen on Mars, too. If they move to Mars, they won't become Martians.
��� Superman, this is for now��� After a few generations, they will. As it happened once on Earth.

The authorship of the characters belongs to the manufacturers of console games including Humble Games (Forager) The full list of copyright holders is on the official website. The recommended prices for resale have moved to the official website.

Join us [Instagram](https://www.instagram.com/suprematic_nft/) and [Twitter](https://twitter.com/Suprematic2)

[Web site](https://crypto-heroes-on-mars.mystrikingly.com)",contain,approved,Crypto Heroes on Mars,1,1,1,1,0,https://crypto-heroes-on-mars.mystrikingly.com
0x8338d085aae3ac048b9e1de285fdef508ce73e45,non-fungible,2022-03-04T09:51:35.116630,Loveless City Metropass,3,267571228,ERC721,$LOVE,0,"Total Supply: 3333

The Loveless City MetroPass is your key to citizenship! Holders will enjoy a variety of utilities and opportunities, including $love! See our [Website](https://www.loveless.city) for all utility info!

The Artist: Tennessee Loveless is an American Pop-Op and Urban Folk artist known for his vibrant geometric landscapes and colorful story telling. Tennessee has previously done work for Google, Sony, Casio, Apple, and many other major brands. He also was commissioned by Disney to create the 10x10x10 series, which featured various works focusing on the iconic Disney character Mickey Mouse. These pieces can be seen on Tennessee's [Website](https://www.tennesseeloveless.com/) 

Our [Discord](https://discord.com/invite/lovelesscity) is locked and currently requires a MetroPass to access the entire server. You may enter now and wait in the waiting room, where will be doing giveaways for server access. 

[Our Collections and Info Links](https://linktr.ee/lovelesscity)",1000,1250,0xf71a729fd5c58fa1096cce576690d0cd4deb4eb8,58.22195599,-0.824028242,138,0.421898232,563.2390891,0,1521,0.370308408,563.2390891,0,1521,0.370308408,563.2390891,1521,3333,3333,2720,0.370308408,1234.237925,0.397,lovelesscitymetropass,"2022-03-06, 09:45:36",2022-03-04T15:14:16.122731,"Total Supply: 3333

The Loveless City MetroPass is your key to citizenship! Holders will enjoy a variety of utilities and opportunities, including $love! See our [Website](https://www.loveless.city) for all utility info!

The Artist: Tennessee Loveless is an American Pop-Op and Urban Folk artist known for his vibrant geometric landscapes and colorful story telling. Tennessee has previously done work for Google, Sony, Casio, Apple, and many other major brands. He also was commissioned by Disney to create the 10x10x10 series, which featured various works focusing on the iconic Disney character Mickey Mouse. These pieces can be seen on Tennessee's [Website](https://www.tennesseeloveless.com/) 

Our [Discord](https://discord.com/invite/lovelesscity) is locked and currently requires a MetroPass to access the entire server. You may enter now and wait in the waiting room, where will be doing giveaways for server access. 

[Our Collections and Info Links](https://linktr.ee/lovelesscity)",contain,approved,Loveless City Metropass,0,0,0,1,0,https://www.loveless.city/
,,,,,,,,,,,,,0.06,-0.25,1,0.06,0.28,-0.066666667,4,0.07,2.91,0.073800738,40,0.07275,7.38,105,6833,6833,76,0.070285714,478.31,0.06,crypto-all-faces-2,"2022-03-06, 09:45:36",2021-06-18T13:34:53.132713,"In our album you can find a lot of different arts of famous people, beatiful CryptoGirls, LegoPunks and many others!",cover,approved,Crypto All Faces,1,1,0,0,0,
